 Count File                       Function                                 Line
   189 ...anchor_topic_profile.jl choose_anchors_partial                     77
     1 ...anchor_topic_profile.jl choose_anchors_partial                     79
   430 ...anchor_topic_profile.jl choose_anchors_partial                     84
     2 ...anchor_topic_profile.jl choose_anchors_partial                     85
     6 ...anchor_topic_profile.jl choose_anchors_partial                     86
  8011 ...anchor_topic_profile.jl choose_anchors_partial                     87
   219 ...anchor_topic_profile.jl compute_A                                 346
   109 ...anchor_topic_profile.jl compute_A                                 348
    14 ...anchor_topic_profile.jl compute_A                                 357
 16476 ...anchor_topic_profile.jl compute_A                                 360
    11 ...anchor_topic_profile.jl compute_A                                 369
     8 ...anchor_topic_profile.jl compute_A                                 372
     5 ...anchor_topic_profile.jl compute_A                                 375
     8 ...anchor_topic_profile.jl compute_A                                 376
     3 ...anchor_topic_profile.jl compute_A                                 384
    20 ...anchor_topic_profile.jl mine_topics                               484
    56 ...anchor_topic_profile.jl mine_topics                               486
  8881 ...anchor_topic_profile.jl mine_topics                               491
 16854 ...anchor_topic_profile.jl mine_topics                               494
    61 ...anchor_topic_profile.jl mine_topics                               500
     1 ...anchor_topic_profile.jl mine_topics                               501
    13 ...anchor_topic_profile.jl simplex_nnls_eg                           134
    15 ...anchor_topic_profile.jl simplex_nnls_eg                           139
     3 ...anchor_topic_profile.jl simplex_nnls_eg                           140
   523 ...anchor_topic_profile.jl simplex_nnls_eg                           148
 10769 ...anchor_topic_profile.jl simplex_nnls_eg                           162
  3275 ...anchor_topic_profile.jl simplex_nnls_eg                           163
   149 ...anchor_topic_profile.jl simplex_nnls_eg                           166
   650 ...anchor_topic_profile.jl simplex_nnls_eg                           167
  1025 ...anchor_topic_profile.jl simplex_nnls_eg                           168
    33 ...anchor_topic_profile.jl simplex_nnls_eg                           170
     1 ...anchor_topic_profile.jl simplex_nnls_eg                           173
    20 ...anchor_topic_profile.jl simplex_nnls_eg                           176
   540 abstractarray.jl           *                                         348
    69 abstractarray.jl           /                                         351
    27 abstractarray.jl           checkbounds                                65
     1 abstractarray.jl           copy!                                     149
     9 abstractarray.jl           copy!                                     206
    11 abstractarray.jl           copy!                                     209
    18 abstractarray.jl           copy!                                     210
    15 abstractarray.jl           copy!                                     212
     6 abstractarray.jl           copy!                                     214
  4649 abstractarray.jl           copy!                                     215
   663 abstractarray.jl           copy!                                     216
   535 abstractarray.jl           copy!                                     218
     1 abstractarray.jl           copy!                                     220
     8 abstractarray.jl           copy_transpose!                           224
     8 abstractarray.jl           copy_transpose!                           227
    12 abstractarray.jl           copy_transpose!                           228
    17 abstractarray.jl           copy_transpose!                           230
   157 abstractarray.jl           copy_transpose!                           233
    44 abstractarray.jl           copy_transpose!                           236
     3 abstractarray.jl           stride                                     30
     2 abstractarray.jl           stride                                     34
     2 array.jl                   -                                         656
   331 array.jl                   -                                         712
     3 array.jl                   -                                         713
    26 array.jl                   -                                         714
     1 array.jl                   -                                         716
   512 array.jl                   .*                                        742
    31 array.jl                   .*                                        744
     2 array.jl                   .*                                        746
    22 array.jl                   .-                                        749
    10 array.jl                   .-                                        751
    21 array.jl                   ./                                        749
