 Count File                       Function                                 Line
   168 ...anchor_topic_profile.jl choose_anchors_partial                     77
   467 ...anchor_topic_profile.jl choose_anchors_partial                     84
     1 ...anchor_topic_profile.jl choose_anchors_partial                     85
     2 ...anchor_topic_profile.jl choose_anchors_partial                     86
  8701 ...anchor_topic_profile.jl choose_anchors_partial                     87
   228 ...anchor_topic_profile.jl compute_A                                 346
    83 ...anchor_topic_profile.jl compute_A                                 348
    14 ...anchor_topic_profile.jl compute_A                                 357
 17649 ...anchor_topic_profile.jl compute_A                                 360
    13 ...anchor_topic_profile.jl compute_A                                 369
     5 ...anchor_topic_profile.jl compute_A                                 372
     6 ...anchor_topic_profile.jl compute_A                                 375
    13 ...anchor_topic_profile.jl compute_A                                 376
     3 ...anchor_topic_profile.jl compute_A                                 384
    19 ...anchor_topic_profile.jl mine_topics                               484
    57 ...anchor_topic_profile.jl mine_topics                               486
  9608 ...anchor_topic_profile.jl mine_topics                               491
 18016 ...anchor_topic_profile.jl mine_topics                               494
    68 ...anchor_topic_profile.jl mine_topics                               500
     8 ...anchor_topic_profile.jl simplex_nnls_eg                           134
    19 ...anchor_topic_profile.jl simplex_nnls_eg                           139
     3 ...anchor_topic_profile.jl simplex_nnls_eg                           140
   601 ...anchor_topic_profile.jl simplex_nnls_eg                           148
 11692 ...anchor_topic_profile.jl simplex_nnls_eg                           162
  3344 ...anchor_topic_profile.jl simplex_nnls_eg                           163
   180 ...anchor_topic_profile.jl simplex_nnls_eg                           166
   747 ...anchor_topic_profile.jl simplex_nnls_eg                           167
   976 ...anchor_topic_profile.jl simplex_nnls_eg                           168
    47 ...anchor_topic_profile.jl simplex_nnls_eg                           170
    30 ...anchor_topic_profile.jl simplex_nnls_eg                           176
   513 abstractarray.jl           *                                         348
   100 abstractarray.jl           /                                         351
    31 abstractarray.jl           checkbounds                                65
     1 abstractarray.jl           copy!                                     150
     4 abstractarray.jl           copy!                                     206
    13 abstractarray.jl           copy!                                     209
    20 abstractarray.jl           copy!                                     210
    14 abstractarray.jl           copy!                                     212
    10 abstractarray.jl           copy!                                     214
  5645 abstractarray.jl           copy!                                     215
   698 abstractarray.jl           copy!                                     216
   510 abstractarray.jl           copy!                                     218
    10 abstractarray.jl           copy_transpose!                           224
    11 abstractarray.jl           copy_transpose!                           227
    13 abstractarray.jl           copy_transpose!                           228
    13 abstractarray.jl           copy_transpose!                           230
   124 abstractarray.jl           copy_transpose!                           233
    40 abstractarray.jl           copy_transpose!                           236
     1 abstractarray.jl           copy_transpose!                           238
     2 abstractarray.jl           stride                                     30
