profiling_yelp_7_cores	(p,r)=choose_anchors_partial(Qn',ntopic);	0.342552
profiling_yelp_7_cores	cnorms2=cnorms2-(Q[:,j]'*A).^2	0.310048
profiling_yelp_7_cores	x[k]=min(x[k],1.0f0)	0.122337
profiling_yelp_7_cores	condif=2*(p_prime.-minimum(p_prime))'*x	0.0391622
profiling_yelp_7_cores	p_prime=2*(AtA*x-Atb)	0.0268575
profiling_yelp_7_cores	p=2*(AtA*x-Atb)	0.021608
profiling_yelp_7_cores	Q[:,j]=A[:,p[j]]-Q[:,1:j-1]*(Q[:,1:j-1]'*A[:,p[j]])	0.0157239
profiling_yelp_8_cores	A=compute_A(Qn,s,p);	0.635173
profiling_yelp_8_cores	(ci,maxiter,ccount)=simplex_nnls_eg(AtA,Atb)	0.622338
profiling_yelp_8_cores	x[k]=x[k]*e^(-eta*p[k])	0.410599
profiling_yelp_8_cores	(p,r)=choose_anchors_partial(Qn',ntopic);	0.359377
profiling_yelp_8_cores	cnorms2=cnorms2-(Q[:,j]'*A).^2	0.325796
profiling_yelp_8_cores	x[k]=min(x[k],1.0f0)	0.121563
profiling_yelp_8_cores	condif=2*(p_prime.-minimum(p_prime))'*x	0.0344845
profiling_yelp_8_cores	p_prime=2*(AtA*x-Atb)	0.0251321
profiling_yelp_8_cores	p=2*(AtA*x-Atb)	0.0201222
profiling_yelp_8_cores	Q[:,j]=A[:,p[j]]-Q[:,1:j-1]*(Q[:,1:j-1]'*A[:,p[j]])	0.0162335
