 Count File                       Function                                 Line
   215 ...anchor_topic_profile.jl choose_anchors_partial                     77
     1 ...anchor_topic_profile.jl choose_anchors_partial                     80
     1 ...anchor_topic_profile.jl choose_anchors_partial                     83
   454 ...anchor_topic_profile.jl choose_anchors_partial                     84
     5 ...anchor_topic_profile.jl choose_anchors_partial                     85
     3 ...anchor_topic_profile.jl choose_anchors_partial                     86
  8880 ...anchor_topic_profile.jl choose_anchors_partial                     87
   167 ...anchor_topic_profile.jl compute_A                                 346
     1 ...anchor_topic_profile.jl compute_A                                 347
    97 ...anchor_topic_profile.jl compute_A                                 348
     1 ...anchor_topic_profile.jl compute_A                                 350
    16 ...anchor_topic_profile.jl compute_A                                 357
 16080 ...anchor_topic_profile.jl compute_A                                 360
    24 ...anchor_topic_profile.jl compute_A                                 369
     6 ...anchor_topic_profile.jl compute_A                                 372
    12 ...anchor_topic_profile.jl compute_A                                 375
    13 ...anchor_topic_profile.jl compute_A                                 376
     3 ...anchor_topic_profile.jl compute_A                                 377
     1 ...anchor_topic_profile.jl compute_A                                 383
     2 ...anchor_topic_profile.jl compute_A                                 384
    19 ...anchor_topic_profile.jl mine_topics                               484
    59 ...anchor_topic_profile.jl mine_topics                               486
  9847 ...anchor_topic_profile.jl mine_topics                               491
 16426 ...anchor_topic_profile.jl mine_topics                               494
    61 ...anchor_topic_profile.jl mine_topics                               500
     7 ...anchor_topic_profile.jl simplex_nnls_eg                           134
    21 ...anchor_topic_profile.jl simplex_nnls_eg                           139
     2 ...anchor_topic_profile.jl simplex_nnls_eg                           140
   541 ...anchor_topic_profile.jl simplex_nnls_eg                           148
 10450 ...anchor_topic_profile.jl simplex_nnls_eg                           162
  3042 ...anchor_topic_profile.jl simplex_nnls_eg                           163
   180 ...anchor_topic_profile.jl simplex_nnls_eg                           166
   685 ...anchor_topic_profile.jl simplex_nnls_eg                           167
  1083 ...anchor_topic_profile.jl simplex_nnls_eg                           168
    44 ...anchor_topic_profile.jl simplex_nnls_eg                           170
    22 ...anchor_topic_profile.jl simplex_nnls_eg                           176
   604 abstractarray.jl           *                                         348
    83 abstractarray.jl           /                                         351
     1 abstractarray.jl           checkbounds                                62
    29 abstractarray.jl           checkbounds                                65
     1 abstractarray.jl           copy!                                     147
     1 abstractarray.jl           copy!                                     150
     5 abstractarray.jl           copy!                                     206
    12 abstractarray.jl           copy!                                     209
    15 abstractarray.jl           copy!                                     210
    26 abstractarray.jl           copy!                                     212
    17 abstractarray.jl           copy!                                     214
  5745 abstractarray.jl           copy!                                     215
   695 abstractarray.jl           copy!                                     216
   500 abstractarray.jl           copy!                                     218
     1 abstractarray.jl           copy!                                     220
     9 abstractarray.jl           copy_transpose!                           224
     9 abstractarray.jl           copy_transpose!                           227
    12 abstractarray.jl           copy_transpose!                           228
    17 abstractarray.jl           copy_transpose!                           230
   133 abstractarray.jl           copy_transpose!                           233
    37 abstractarray.jl           copy_transpose!                           236
     2 abstractarray.jl           copy_transpose!                           238
     4 abstractarray.jl           stride                                     30
     1 abstractarray.jl           stride                                     34
     2 abstractarray.jl           stride                                     35
     1 abstractarray.jl           stride                                     37
     2 array.jl                   -                                         656
   354 array.jl                   -                                         712
     2 array.jl                   -                                         713
    31 array.jl                   -                                         714
   579 array.jl                   .*                                        742
     1 array.jl                   .*                                        743
    23 array.jl                   .*                                        744
     3 array.jl                   .*                                        746
     1 array.jl                   .*                                        749
     1 array.jl                   .*                                        753
    19 array.jl                   .-                                        749
     2 array.jl                   .-                                        750
     5 array.jl                   .-                                        751
    34 array.jl                   ./                                        749
     1 array.jl                   ./                                        750
    49 array.jl                   ./                                        751
   205 array.jl                   .^                                        706
   506 array.jl                   ctranspose                               1278
     3 array.jl                   fill!                                     143
    14 array.jl                   fill!                                     146
    11 array.jl                   fill!                                     147
     5 array.jl                   findmax                                  1125
