 Count File                       Function                                 Line
   194 ...anchor_topic_profile.jl choose_anchors_partial                     77
     1 ...anchor_topic_profile.jl choose_anchors_partial                     79
     1 ...anchor_topic_profile.jl choose_anchors_partial                     80
   462 ...anchor_topic_profile.jl choose_anchors_partial                     84
     3 ...anchor_topic_profile.jl choose_anchors_partial                     86
  8746 ...anchor_topic_profile.jl choose_anchors_partial                     87
    19 ...anchor_topic_profile.jl mine_topics                               484
    58 ...anchor_topic_profile.jl mine_topics                               486
  9649 ...anchor_topic_profile.jl mine_topics                               491
  7352 ...anchor_topic_profile.jl mine_topics                               494
    85 ...anchor_topic_profile.jl mine_topics                               500
   249 ...anchor_topic_profile.jl pcompute_A                                389
    82 ...anchor_topic_profile.jl pcompute_A                                391
     1 ...anchor_topic_profile.jl pcompute_A                                393
   135 ...anchor_topic_profile.jl pcompute_A                                411
  6849 ...anchor_topic_profile.jl pcompute_A                                415
     4 ...anchor_topic_profile.jl pcompute_A                                416
    28 ...anchor_topic_profile.jl pcompute_A                                417
     1 ...anchor_topic_profile.jl pcompute_A                                426
     3 ...anchor_topic_profile.jl pcompute_A                                427
     1 abstractarray.jl           checkbounds                                62
    25 abstractarray.jl           checkbounds                                65
     1 abstractarray.jl           copy!                                     150
     3 abstractarray.jl           copy!                                     206
    12 abstractarray.jl           copy!                                     209
     8 abstractarray.jl           copy!                                     210
    21 abstractarray.jl           copy!                                     212
    24 abstractarray.jl           copy!                                     214
  5547 abstractarray.jl           copy!                                     215
   643 abstractarray.jl           copy!                                     216
   504 abstractarray.jl           copy!                                     218
     1 abstractarray.jl           copy!                                     220
    15 abstractarray.jl           copy_transpose!                           224
    15 abstractarray.jl           copy_transpose!                           227
     8 abstractarray.jl           copy_transpose!                           228
    23 abstractarray.jl           copy_transpose!                           230
   130 abstractarray.jl           copy_transpose!                           233
    40 abstractarray.jl           copy_transpose!                           236
     1 abstractarray.jl           copy_transpose!                           238
     4 array.jl                   +                                         712
     3 array.jl                   -                                         654
     6 array.jl                   -                                         656
     1 array.jl                   -                                         712
     1 array.jl                   -                                         714
   179 array.jl                   .^                                        706
     2 array.jl                   fill!                                     143
    15 array.jl                   fill!                                     146
    18 array.jl                   fill!                                     147
     1 array.jl                   fill!                                     150
     1 array.jl                   findmax                                  1123
    35 array.jl                   getindex                                  237
    99 array.jl                   reshape                                    91
     3 array.jl                   setindex!                                 298
     1 array.jl                   transpose!                               1258
   154 array.jl                   transpose!                               1263
    14 array.jl                   transpose!                               1265
     2 array.jl                   transpose                                1280
     2 dict.jl                    _setindex!                                512
     1 dict.jl                    getindex                                  136
     2 dict.jl                    setindex!                                 528
     2 io.jl                      read                                      103
    13 io.jl                      read                                      118
     4 iobuffer.jl                read!                                      59
     4 iobuffer.jl                read_sub                                   50
     7 iobuffer.jl                write                                     198
     4 iobuffer.jl                write                                     201
    11 iobuffer.jl                write_sub                                 214
   140 linalg/matmul.jl           *                                          68
  8739 linalg/matmul.jl           *                                         117
    88 linalg/matmul.jl           Ac_mul_B                                  102
     3 linalg/matmul.jl           copy!                                     293
  6764 linalg/matmul.jl           copy!                                     294
     1 linalg/matmul.jl           copy!                                     297
     5 linalg/matmul.jl           copy_transpose!                           302
   242 linalg/matmul.jl           copy_transpose!                           303
     1 linalg/matmul.jl           generic_matmatmul!                        382
